"","rat_id","line_f","sex","sex_f","round_f","proportion_time_cat","velocity_cat","velocity_diff","distance_cat","freq_enter_cat"
"1","rat_1","Control","Male","1","Round_1",0.177258,3.03262,-0.04704,4400.09,39
"2","rat_2","Control","Male","1","Round_1",0.002556,6.40707,6.101811,147.363,3
"3","rat_3","Control","Male","1","Round_1",0.003742,8.43055,8.047482,283.941,4
"4","rat_4","Control","Male","1","Round_1",0.126702,3.46491,0.96537,3331.71,31
"5","rat_5","Control","Male","1","Round_1",0.020782,5.1004,4.535535,953.979,15
"6","rat_6","Control","Male","1","Round_1",0.015613,4.14794,1.80635,582.868,6
"7","rat_7","Control","Female","2","Round_1",0.196276,3.98701,0.80711,6323.23,75
"8","rat_8","Control","Female","2","Round_1",0.100018,7.14367,3.65598,6430.45,77
"9","rat_9","Control","Female","2","Round_1",0.20208,3.26382,1.1893,3437.59,29
"10","rat_10","Control","Female","2","Round_1",0.113156,6.11108,2.35587,6013.79,74
"11","rat_11","Control","Female","2","Round_1",0.038951,6.38914,4.74035,2239.78,17
"12","rat_12","Control","Female","2","Round_1",0.085107,5.48729,2.18538,4149.93,51
"13","rat_13","Control","Female","2","Round_2",0.087018,5.46682,2.63944,4065.13,30
"14","rat_14","Control","Female","2","Round_3",0.134071,5.54869,3.03298,6012.12,69
"15","rat_15","Control","Female","2","Round_3",0.001027,12.2841,10.92615,113.505,3
"16","rat_16","Control","Female","2","Round_2",0.024338,21.032,17.75173,4414.19,155
"17","rat_17","Control","Female","2","Round_2",0.222444,4.0886,0.406369999999999,7926.65,129
"18","rat_18","Control","Female","2","Round_3",0.018267,6.91558,5.90824,1136.92,12
"19","rat_19","Control","Male","1","Round_3",0.007676,6.39944,5.868609,442.073,6
"20","rat_20","Control","Male","1","Round_2",0.057582,5.73387,3.52107,2971.29,27
"21","rat_21","Control","Male","1","Round_2",0.035307,4.83735,3.972233,1537.12,18
"22","rat_22","Control","Male","1","Round_3",0.014871,5.17401,4.651358,692.489,7
"23","rat_23","Control","Male","1","Round_2",0.009542,5.97397,3.12001,512.806,6
"24","rat_24","Control","Male","1","Round_3",0.236987,2.48945,-0.66662,5272.55,36
"25","rat_25","WT","Female","2","Round_1",0.982476,0.398506,-6.996294,3499.03,6
"26","rat_26","WT","Male","1","Round_1",0.420707,3.83587,-2.20392,12529.2,128
"27","rat_27","WT","Male","1","Round_1",0.744684,3.98726,2.28981,15282.4,328
"28","rat_28","WT","Male","1","Round_3",0.520089,1.30829,0.0734699999999999,5857.88,24
